post_id,text,true_label,pred_label
11254379_gab,before trump stopped it how many faggots enlisted to have mil pay to chop their peckers off enquiring minds wanna know,offensive,offensive
24975843_gab,you are fucking retard,offensive,offensive
1168001573407997956_twitter,misábadoconelartista miluskaeskenazi canta y baila i will always love you whitneyhouston en <user> 💃,normal,normal
1179041789442973696_twitter,i need audition help i am auditioning for throughly modern millie on thursday and i need a good audition song for mrs meers or muzzy please thank u,normal,normal
1098328532097400832_twitter,<user> you knows it but we are a genuinely tolerant race who have always welcomed new immigrants,normal,normal
1178441964997550085_twitter,made a priv so i can call players niggers,hatespeech,hatespeech
27348680_gab,is that what is going on felt like i have been shouting down a well and everybody went on vacation for a second i thought my poasting had suddenly become more retarded than usual eh maybe it has,offensive,normal
12342840_gab,sharipo is a fucking jew and if you know that kike he plays his jew card everytime the shit goes down ben is a fucking liberal,hatespeech,hatespeech
22055036_gab,remember <user> ‍ this nigger is one of your american nationalists and he calling you a fed lol burgerwars,hatespeech,hatespeech
1171259366865068037_twitter,females are more thirstier than niggas but they can get away with it,normal,normal
1268038905137369088_twitter,oh cause i thought a nigga who sound amp look gay said sum,hatespeech,normal
22393483_gab,2 3 andme is a strange choice for this sort of thing given that it primarily works at the behest of the israeli government to determine who is a kike or not,hatespeech,hatespeech
23593460_gab,amen blacks suspended about <number> times as much as whites sheboons suspended <number> times as much as white girls standard crime pattern mainly due to genes blacks injuns hispanics whites asians,hatespeech,hatespeech
24340362_gab,wu neva seen it put like this but fuggin nails it the kike house of cards is wobbling as we speak,hatespeech,hatespeech
1179005076536483840_twitter,<user> i definately have to come over and visit soon 😍 😍 😍 i need to be raped by more than one,normal,normal
17516330_gab,where d you learn that mark zuckerberg sjw community college russians have always been and will always be caucasians of the european continent classifying russians or indians as asians is the same as classifying brazilians as americans,normal,normal
1179105735818412032_twitter,<user> trust that shits crazy 😂 just do not take all white shoes like i did <sad>,normal,normal
13112831_gab,trump lost mn by <percent> and only because he and pussy pence ran away from the mudslime and pence tweeted a ban on mudslime was offensive and unconstitutional hope pussy pence enjoys living with mudslime when his ass is kicked from wh,hatespeech,hatespeech
13133876_gab,well that mudshark whore in the middle is used to taking jamie foxx ghetto schlong in her not that surprising,hatespeech,hatespeech
1178713133235539968_twitter,niggers be like a cocc,hatespeech,hatespeech
1116693455739195393_twitter,play women and wine undo men laughing,normal,normal
1259526942635823107_twitter,y ’ all hoes really lurking 🥴,offensive,offensive
1105505120446500865_twitter,😂 she wanna be so fake nonchalant you know that nigga hurt you,normal,normal
1183868140930908160_twitter,<user> he trying to say that celtic fans doing nazi salutes 💀 💀,offensive,normal
1246664039872319488_twitter,i been a bad bitch,normal,normal
1187201689872404480_twitter,you walk soto to face the man who hit a grand slam against the dodgers aj hinch are you fucking retarded,offensive,offensive
1274556576704028672_twitter,catholic leaders don ’ t forget refugees during pandemic via <user>,normal,normal
1178702446039830528_twitter,i do not know why the word nigger still bothers people i think the word is funny asf 😭 white people feel so powerful saying it 🤣 🤣,normal,hatespeech
1208720931440320512_twitter,<user> <user> found a racist closet gaypoop fan,offensive,offensive
1179008255948972035_twitter,love to go to class on the cusp of mildly hungover and still drunk from last night,normal,normal
27997027_gab,what a lying asshole you are you arab muslim filth are fucking up christian europe liar typical blame shifting lying a rab hook nosed raghead,hatespeech,hatespeech
22303507_gab,your friendly moslem who went all allah akhbar today in france,normal,hatespeech
1206338394785230848_twitter,i hate you black bastards,offensive,offensive
25941139_gab,but do not worry if you can not remember your recent negro president you americans have now got a negro princess of your own to replace him in your hearts,hatespeech,hatespeech
27546255_gab,yes everybody ask yourself right now would you ruin your life with a bull dyke ricky vaughn with tits <user>,hatespeech,hatespeech
6943668_gab,the bbc spent more time on allowing the words of the solicitor for the chinaman than those of assad preferring to fake the news with their interpretation of what he said their prejudice is showing,normal,normal
1142152131748794368_twitter,i like when they pretty and ghetto type of bitch that don ’ t even say hello,normal,offensive
15734087_gab,he is going wherever jews take him israel first not america,normal,offensive
18361661_gab,i like my fascist freedom of speech as jews call every word that a non jew says to suppress his liberty just the way it is jews because your satanic diversity of opinions has brought us this,hatespeech,offensive
9543167_gab,ah poor kurt i am retarded seizure man i am pretty sure picking on the special kids is frowned upon,offensive,offensive
1178251681466707969_twitter,after they have killed or wounded a score of persons special to the new york times harriston miss <date> a reign of murder started early this morning by two negro boys who were crazed by cocaine developed into a race riot which ended only after three white men <number>,normal,offensive
1270778096015282182_twitter,<user> <user> <number> has nicki minaj raped anyone <number> karruche filed a restraining order against cb stating he beat her,offensive,normal
1179060292644261888_twitter,i was born ghetto you were born a bitch nigga,normal,offensive
1263316123019345925_twitter,<user> yo not gay its wit da bois,offensive,normal
1178859888191135744_twitter,the last thing i wanna do is get off work too a nigga with a attitude,normal,normal
1178579448951533569_twitter,plus there a whole modern twist with white racist nationalist terrorists conspiring with forces they do not understand from fear of change from this wave of refugees,normal,offensive
20557451_gab,just throw a faggot in the mix,hatespeech,offensive
1160261323688726528_twitter,bitches act like you are supposed to be scared of them because they are dirty and ghetto 😂,offensive,offensive
1246577578506194945_twitter,it ’ the demonazi ’ and republicommies,normal,normal
18412369_gab,clueless marxist indoctrinated pussy hat women have no clue as to the pain they may cause as they parrot cultural marxism study cultural marxism people read study hard know your enemy it moves silently and unseen by most,offensive,hatespeech
1100222373578432513_twitter,<user> <user> i hate you 😅,hatespeech,normal
1179050929942757376_twitter,<user> <user> did not she already address it and i do not know about the tribe my dad grew up in the <number> smoky mountains dirt poor hillbilly only had elementary education was a moonshiner the navy saved him until i was a teenager they did not have indoor plumbing,normal,normal
19137219_gab,lol shoo shoo you belong with the sand niggers,hatespeech,hatespeech
1178514704005771265_twitter,tired of having shit skin,offensive,offensive
1179049202854350848_twitter,new single called freak bitch dropping <number> <number> it one of them jawns u keep on repeat on 🤟 🏾,normal,offensive
1178990255577411585_twitter,we dressed with big dyke energy today and wanna show off but we are too scared to do a face reveal,normal,normal
26093638_gab,more like every nigger is a clown lol,hatespeech,hatespeech
1179105246137724928_twitter,<user> <user> jews actually are the most over represented,normal,offensive
21878349_gab,<number> shades of gray moslem style <number> nuances de gris dans le style musulman biggaykoranburning steve,hatespeech,hatespeech
20796672_gab,i heard you hate joows you a muzzie hon,hatespeech,hatespeech
1091513903756980224_twitter,<user> im buying a pair in support of hoping to offend more muslims,offensive,normal
6130325_gab,you can only predict the position of the stars and planets by using the spherical earth model and predictions are quite accurate far into the future it not even possible to predict a lunar eclipse using the retarded flat earth model sphericalearth,offensive,offensive
1266977469371944961_twitter,<user> well you killed a grammar nazi with that reply for sure,normal,normal
13909163_gab,i suggest you put this nigger on your board of directors he seems like a good one,offensive,hatespeech
27585514_gab,can not really say that i feel bad about that one <number> dead spic faggots and a dead muslimic none of whom belong in this country is a positive outcome imho,hatespeech,hatespeech
8838227_gab,this is what the demonrats do they incite violence and then use it as a platform to take our guns away good thing we are not as stupid as they are and can see through this thinly veiled plot,normal,offensive
1179091228115161088_twitter,<user> when referencing mass murders by neo nazis kk white supremacists i humbly request include churches synagogues mosques and gurdwaras <date> oakcreek wi <number> sikh americans also experience more hate crimes since <date> violence,normal,normal
1721543_gab,if you think a sand nigger getting her hood pulled down is bad then you d freak out seeing what sand niggers in her own country would be doing to her right now,hatespeech,hatespeech
18971794_gab,why is it that women have no problem aborting healthy babies but at the same time feel a moral obligation to keep retarded ones,hatespeech,offensive
15295049_gab,it is impossible for me to follow the rules on twitter you can not even call girls who shave the sides of their heads ugly dykes anymore,hatespeech,hatespeech
1179013997842051073_twitter,<user> basically an early version mentioned every victim of the holocaust except the jewish people,normal,normal
21254500_gab,well gabfam it thursday thank the gods of course it cold wet grey gloomy and shitty but meh that oh for you have a great day remember make the world a better place shoot a kike in the face,hatespeech,hatespeech
1178675122682642433_twitter,white guy it a witch hunt white guy they are a lynch mob white guy in that country they throw faggots off of rooftops,normal,normal
1179062724334178307_twitter,<user> sounds a bit harsh you did not say anything hateful by any chance then again me dressed in a wig and calling the real me a faggot is now hate speech i am livid,normal,normal
25555796_gab,the addendum is that if a woman says so she fucking every nigger she sees,hatespeech,hatespeech
1083189107906482176_twitter,<user> <user> you are a nazi sarah,normal,normal
1159626460518215681_twitter,whoever decided to put minho in tight pants and short shorts needs to come back,normal,normal
11200562_gab,macro the left gets bullied by blacks muslimes and victim groups the right does not get bullied the left as a reaction <number> themselves being bullied pretend they r freedom fighters side with those bullying them and attack conservatives who defend themselves while accusing them of being bullies,hatespeech,hatespeech
1179562385893232640_twitter,mud people are the source of this climate change bull shit fuck the muddy gad damn negro fucking chocolate lookin ass nigars,hatespeech,hatespeech
27535667_gab,burn all the gays burn all non whites i am living for giving these niggers their due im burnin im burnin im burnin a jew hitlerwasright,hatespeech,hatespeech
16137738_gab,no idea what in the hell this one is for or about but said ad is dysfunctional on top of miscegenational epsilon level <number> eyed pansy male white woman mystery meat urkel kid perhaps a sambo girl adopted why would anyone but a racially sick person adopt black africa finest pathetic wn,offensive,offensive
1179064112891842560_twitter,<user> <user> dear lady basically u r advocating riyasat e madina with caliphate where non muslims 3 rd class citizens i am sure u r aware how sikh hindu christains minor girls abducted raped and converted to marry old muslim men u want that to replicate in kashmir,normal,normal
1198222005511675905_twitter,am not trying to be racist some of them mmg rude especially arabs mabuk tu takyah cerita la dah mabuk blh pulak drive 🤦 ‍ ♂ ️,offensive,normal
13296171_gab,whatever happened to allegations fox was involved with beaner drug cartels,hatespeech,hatespeech
16089593_gab,i despise the muslim world in general and all its sandnigger varieties but the collapse of the anglozionist empire is something that europe and the middle east could and should work together on if given the chance,hatespeech,hatespeech
