post_id,text,true_label,pred_label
15977167_gab,diversity means getting shot by blacks raped by mexicans blown up by arabs and shitty customer service from indians,hatespeech,offensive
1083106282997989377_twitter,<user> <user> but is not his wife an immigrant drainthedeepstate,offensive,offensive
11352243_gab,if they are going to have a nigger mayor then at least elect a high voodoo priest,hatespeech,hatespeech
1178069176285585408_twitter,<user> <user> cabot cove had a murder rate roughly triple south central at it peak violence most of the rest of our fine state is quite chill lots of racists though especially as you move north,normal,normal
1179053968242200576_twitter,mike always kill all the culture outfits 😍 🔥 🔥 🔥 🔥 🔥 🔥 🔥,normal,normal
1178905976600170496_twitter,man ain t shit scary about the hood i lived in it all my life but you all do not know scary till you dealing with them white folk they be on some sick different shit lmao,offensive,normal
18326112_gab,money grubbing filthy kike in panic mode he has to refund shekels,hatespeech,hatespeech
362E9TQF2HRABD89HARI0Y2GDU9GIX_nf_6,<user> and the home secretary needs to instruct border force to stop bringing illegal immigrants into our country,normal,normal
1178564492893908992_twitter,he about to be date raped which happens slot on this show so no biggy apparently oh brooke oh taylor oh brooke,normal,normal
1179469431736537093_twitter,<user> wait a minute pissed like pee pee or something else i am retarded sorry,offensive,offensive
1179089392029327360_twitter,arabella sending wedding cake slices to anny and sarah with a message saying in remembrance of good advice she really is that bitch i love it,normal,normal
18003424_gab,why do you think all the arabs want that piece of sand now when they could not be bothered with it before,normal,offensive
1179069426458644482_twitter,kevin gates make music for dykes and chubby nigga 🤷 🏽 ‍ ♂️,hatespeech,offensive
1146073456347439108_twitter,<user> homophobic gays are the backbone of the community,normal,offensive
1121989408876482561_twitter,if pete gets elected i ’ m going to cut off my gay ear,offensive,normal
1255076282783719425_twitter,2 v2 challs kroc is scared of comp so dont be a dumb sweater retard,normal,offensive
1178372631722110978_twitter,<user> well that the primary reason but it mostly supported by the fact that niggers never keep the same energy all words no action,hatespeech,hatespeech
9968459_gab,i hate that wailing muzrat shit,hatespeech,hatespeech
1188512615405887494_twitter,<user> i hate you,normal,normal
14017990_gab,why are there tv commercials featuring ugly nigger bitches checking their dna humans do not care and are repulsed get rid of that nasty jew fetishized shit,hatespeech,hatespeech
19186428_gab,some faggot reported my avi on twitter the same as i have here i wish the main people i follow on twitter were on gab so i could abandon that shitty site,offensive,offensive
14928405_gab,people think white nationalists want war and to exterminate others when in reality all we want is separation,normal,normal
1228019515553918976_twitter,<user> how will you stop the foreign interference of illegal immigrants voting then,normal,offensive
16401578_gab,i was put in twitter jail for <number> hours for telling the truth about the rapes in sweden being committed by moslem immigrants i pointed out that it was civilization jihad all true i found gab this evening suggested by another tweeter,normal,normal
5581411_gab,apparently honorary whiteness is minorities who look white this would include asians,offensive,normal
1163828708517568517_twitter,<user> proud boys aren ’ t pro nazi jesus you ’ re a terrible journalist,normal,normal
1179064927949996033_twitter,<user> they all look uncomfortable,normal,normal
4083561_gab,rosie o makes me physically sick looking at her tranny dyke ass is unbearable and seeing her tweets is just plain laughable good thing i have trump insults of her to get me thru it liberals are mentally ill,hatespeech,hatespeech
14904831_gab,this faggot <user> likes muslim goat dick advocates for white genocide and shills using the same repeated script i am sure that he a paid shill,hatespeech,hatespeech
4463291_gab,also how fucked up was the curry nigger in the <number> <number> briefing that did not even know trump name said only president then awkward silence and still got to ask a question indians should not be allowed at the press briefings either the lighter skinned indian woman was annoying too,hatespeech,hatespeech
18455479_gab,what does this fat ass jew have against white people should not white people be concerned with the browning of america he is a pure left wing ass,offensive,hatespeech
1179102227887247360_twitter,somehow i wish i was the man with the white today 😅 god bless the trap niggas happy october,normal,normal
1178884127728242688_twitter,ion give a fuck yeah fuck you too,normal,normal
22275842_gab,the reversal of males being less idle for whites and asians when in blacks and hispanics is interesting,normal,normal
26495505_gab,i am sure tricking the icelandic people into accepting fighting age male muslim refugees that israel and saudi arabia will not accept was the first order of business what a setback for iceland,offensive,offensive
16288097_gab,fuck off you nigger loving whore your mom need a slap upside the head for boring such a chicken shit pansy,hatespeech,hatespeech
19269291_gab,fuck off you kike schill,hatespeech,hatespeech
11833146_gab,<user> does gab community guidelines ban all calls for violence incl those protected under brandenburg v ohio can i say gas the kikes breivik was right etc or is that banned,hatespeech,hatespeech
14831757_gab,why would i watch your shitty vids when i can tell you are a retard with hero worship clouding your judgement nazi shit is always a fad it was fun to nazipost pre trump to spook normies but now it stale best of luck with your busted vids and aesthetic tho,offensive,offensive
5969217_gab,merkel next governmental position should be refugee camp whore,offensive,offensive
20529027_gab,kill nigger like love,hatespeech,hatespeech
1180885235828789249_twitter,bitches be makin mistakes and hurting people they love i am bitches bitches is me 😔,normal,offensive
1187204382619619334_twitter,<user> that actual harassment,normal,normal
1247963586254651393_twitter,ofc we get grief by snow and brook last game fucking retards holy fuck i hate them,offensive,offensive
1083834779043356672_twitter,<user> <user> hahaha israel will be destroyed because of holocaust of palestinians,offensive,normal
7477063_gab,<user> it seems to me that the only qualification to be an american yellow journalist on cnn or msnbc is to either be a man hating bull dyke like christianne amanpour who refuses to suck dick or a woman hating faggot who loves sucking dick like anderson cooper,hatespeech,offensive
1177657400100147200_twitter,sleeper was released as a single on <date> as a collaboration with luxury jewellery brand gemcerey,normal,normal
8544506_gab,love brigitte gabriel completely destroys the mainstream media pro islam message and the liberals elites lies about islam and muslims being peaceful,offensive,offensive
15610828_gab,it the typical leftist play call right wing hate speech out even if the person is only speaking pure facts but allow minority and mentally ill people to call for and actually plot violence against the right and say those people have free speech they are criminals,offensive,normal
1186937255757336577_twitter,<user> what a retarded mong probably never stood in his life retard,offensive,offensive
26792866_gab,in addition to banning the burka the need to ban the sand niggers that wear them,hatespeech,hatespeech
16848059_gab,a prominent hollywood entertainment lawyer claims that poltergeist child star heather o rourke was raped and murdered by hollywood executives heather played the character carol anna freeling in all three of steven spielberg poltergeist films she died in <number>,normal,normal
1179011933829120000_twitter,<user> bitch im screaming at the top of my lungs 😩,normal,normal
1179089754689699841_twitter,<user> why are white guys always such whiny little bitches,normal,offensive
1183714936398200835_twitter,i ’ m tired of waking up for school this shit is so ghetto,normal,normal
1181231827924770816_twitter,the blackguard killed a battlerager at the hollow planet,normal,normal
2181605_gab,if syria is in trouble and the people are fleeing then why are we receiving refugees from somalia africa basically every where as well as syria makes no sense it just a fucking lie from gog aka obamanation to bring in his army to irradiate us asshole,offensive,offensive
1179081578326085632_twitter,i am not gay but i will fuck your ass like a faggot,offensive,offensive
1177915478674534401_twitter,<user> new look ching chong,hatespeech,hatespeech
1178721668782575616_twitter,through the security council of the united nations colonialist powers have always ensured the division and occupation of muslim lands themselves or assisted others in doing so یو این چھوڑ خلافت لا کشمیر کو آزاد کرا,normal,normal
1082195418585489408_twitter,can not be the only one that wants drogon to burn that bitch sansa to cinders but no that would not be all that fun story wise,normal,normal
17683025_gab,mandela was a communist nigger from south africa his wife winnie was a criminal mandela lived too long,hatespeech,hatespeech
14560961_gab,and a cucked sand nigger no less,hatespeech,hatespeech
3742628_gab,we need to get real comfortable telling blks they need to leave they farmed they did not contribute to building this country whites did it we need to start saying we do not need diversity in white anything unless they want to make naacp and all the other nigger groups diverse <user>,hatespeech,hatespeech
1178510237520805888_twitter,faggot ass cowgirls yall aint poppin shit round here,offensive,offensive
1178338892048547840_twitter,<user> <user> because as the great brotha of brothas prince of princes and czar of blackness negrodamous has proclaimed you all the devil lol i can not believe you think he hates white ppl part of his name is jesus no hate,normal,normal
1251242605058416641_twitter,<user> if you were a nazi you would be left wing,normal,normal
15628855_gab,and it fine n dandy if you wanna get married but that not going to raise up the plummeting marriage rates you will not get them up by calling guys gay or telling them to man up if you want traditional marriage go and make it traditional again,normal,normal
24020918_gab,your turn bitch if that not the most isis frustrated sandnigger style of english ive ever seen,hatespeech,hatespeech
21393137_gab,so that way if some cowardly kike wants to push her narrative it can still be seen and challenged by the public,hatespeech,hatespeech
13243837_gab,interesting do you know a lot of jewish women in real life,normal,normal
24117432_gab,police hate pakis they always have that hate extended to white children seen with them it very simple,normal,offensive
1143083211171364864_twitter,unpopular opinion not all you niggas need waves 👀 some of you all need the hair,normal,normal
12326526_gab,gross muslimes are against same sex attraction disorder sad yes against fruit cakes but man goats are ok sick bunch sharia my arse,hatespeech,hatespeech
1179084973795663877_twitter,my rising is good news for born again caucasians and the believing black people it not so good for the white men burning to the dead goats pigs elephants those who come back out of the bottomless pit no one like trump a black man in a white man body,normal,normal
1178812134114770944_twitter,<user> youre hurting my feelings thats why dykes 6 o o h € ii,normal,normal
7984771_gab,just bought some pro trump apparel in response to the aggressive reactions both verbal and physical to my political views at my university i look forward to using myself to start a proper dialogue on this topic instead of the increasing harassment i have been enduring at the hands of liberals,normal,normal
21747087_gab,consider the sorry state of ca we have a commie government middle class ppl r leaving and eventually the imported dreamers will try to burn the state down for instance a wetback illegal has just been appointed to a government position,hatespeech,hatespeech
